Rank,Name,Population,Member state
1,London,8174100,United Kingdom
2,Berlin,3468939,Germany
3,Madrid,3213271,Spain
4,Rome,2777979,Italy
5,Paris,2243833,France
6,Hamburg,1802041,Germany
7,Budapest,1740041,Hungary
8,Vienna,1731236,Austria
9,Warsaw,1700612,Poland
10,Bucharest,1677985,Romania
12,Stockholm,1372565,Sweden
13,Munich,1353186,Germany
14,Milan,1347298,Italy
16,Sofia,1202761,Bulgaria
18,Birmingham,1074300,United Kingdom
19,Cologne,1007119,Germany
23,Marseille,850726,France
25,Amsterdam,801542,Netherlands
27,Krakw,757611,Poland
36,Helsinki,614074,Finland
38,Stuttgart,602056,Germany
39,Glasgow,598470,United Kingdom
40,Dsseldorf,586564,Germany
41,Dortmund,580688,Germany
42,Essen,575027,Germany
49,Dublin,527612,Ireland
50,Dresden,525105,Germany
52,Hanover,518386,Germany
53,Lisbon,508209,Portugal
54,Nuremberg,505664,Germany
56,Duisburg,490322,Germany
57,Lyon,484344,France
63,Leeds,751500,United Kingdom
64,Toulouse,441802,France
65,Bratislava,431061,Slovakia
81,Nice,343304,France
82,Plovdiv,338153,Bulgaria
83,Varna,334870,Bulgaria
98,Cluj-Napoca,306009,Romania
102,Craiova,298643,Romania
109,Nantes,284970,France
116,Strasbourg,271782,France
121,Augsburg,264708,Germany
125,Montpellier,257351,France
128,Espoo,252945,Finland
141,Bordeaux,239157,France
156,Lille,227560,France
162,Tampere,215377,Finland
169,Rennes,207178,France
172,Oradea,204477,Romania
173,Vantaa,203428,Finland
180,Burgas,200271,Bulgaria
193,Groningen,193127,Netherlands
213,Reims,179992,France
218,Turku,178846,Finland
225,Le Havre,175497,France
232,Saint-tienne,171260,France
243,Arad,166003,Romania
245,Toulon,164532,France
260,Grenoble,155637,France
263,Sibiu,154548,Romania
265,Dijon,151212,France
267,Rousse,149642,Bulgaria
273,Angers,147571,France
279,Villeurbanne,145150,France
280,Saint-Denis,145022,France
282,Oulu,144114,Finland
288,Le Mans,142626,France
290,Nmes,142205,France
293,Aix-en-Provence,141438,France
294,Brest,141303,France
296,Uppsala,140454,Sweden
300,Clermont-Ferrand,139860,France
303,Baia Mare,139154,Romania
304,Limoges,139150,France
307,Stara Zagora,138272,Bulgaria
319,Tours,134817,France
322,Amiens,133448,France
324,Jyvskyl,132115,Finland
349,Metz,120738,France
361,Latina,118946,Italy
363,Matar,118748,Spain
368,Perpignan,117419,France
374,Besanon,116914,France
384,Boulogne-Billancourt,114205,France
385,Orlans,114167,France
390,Satu Mare,112705,Romania
393,Rouen,110933,France
394,Rmnicu Vlcea,110901,Romania
395,Mulhouse,109588,France
399,Caen,108954,France
410,Suceava,106934,Romania
411,Saint-Denis,106785,France
417,Drobeta-Turnu Severin,106507,Romania
424,Nancy,105421,France
433,Luxembourg,103641,Luxembourg
436,Saint-Paul,103346,France
440,Argenteuil,103125,France
441,Montreuil,102770,France
445,Lahti,102383,Finland
