Name,Population,latitude,longitude
London,8174100,51.5073219,-0.1276474
Berlin,3468939,52.5170365,13.3888599
Madrid,3213271,40.4167047,-3.7035825
Rome,2777979,41.8933203,12.4829321
Paris,2243833,48.8588897,2.3200410217200766
Hamburg,1802041,53.550341,10.000654
Budapest,1740041,47.4979937,19.0403594
Vienna,1731236,48.2083537,16.3725042
Warsaw,1700612,52.2319581,21.0067249
Bucharest,1677985,44.4361414,26.1027202
Stockholm,1372565,59.3251172,18.0710935
Munich,1353186,48.1371079,11.5753822
Milan,1347298,45.4641943,9.1896346
Sofia,1202761,42.6977028,23.3217359
Birmingham,1074300,52.4796992,-1.9026911
Cologne,1007119,50.938361,6.959974
Marseille,850726,43.2961743,5.3699525
Amsterdam,801542,52.3727598,4.8936041
Helsinki,614074,60.1674881,24.9427473
Stuttgart,602056,48.7784485,9.1800132
Glasgow,598470,55.8609825,-4.2488787
Dortmund,580688,51.5142273,7.4652789
Essen,575027,51.4582235,7.0158171
Dublin,527612,53.3498006,-6.2602964
Dresden,525105,51.0493286,13.7381437
Hanover,518386,52.3744779,9.7385532
Lisbon,508209,38.7077507,-9.1365919
Nuremberg,505664,49.453872,11.077298
Duisburg,490322,51.434999,6.759562
Lyon,484344,45.7578137,4.8320114
Leeds,751500,53.7974185,-1.5437941
Toulouse,441802,43.6044622,1.4442469
Bratislava,431061,48.1435149,17.108279
Nice,343304,43.7009358,7.2683912
Plovdiv,338153,42.1418541,24.7499297
Varna,334870,43.2073873,27.9166653
Cluj-Napoca,306009,46.769379,23.5899542
Craiova,298643,44.3190159,23.7965614
Nantes,284970,47.2186371,-1.5541362
Strasbourg,271782,48.584614,7.7507127
Augsburg,264708,48.3668041,10.8986971
Montpellier,257351,43.6112422,3.8767337
Espoo,252945,60.2047672,24.6568435
Bordeaux,239157,44.841225,-0.5800364
Lille,227560,50.6365654,3.0635282
Tampere,215377,61.4980214,23.7603118
Rennes,207178,48.1113387,-1.6800198
Oradea,204477,47.058715,21.927919041661156
Vantaa,203428,60.3091871,25.0364526
Burgas,200271,42.4936616,27.4721276
Groningen,193127,53.2190652,6.5680077
Reims,179992,49.2577886,4.031926
Turku,178846,60.4517531,22.2670522
Le Havre,175497,49.4938975,0.1079732
Arad,166003,46.1753793,21.3196342
Toulon,164532,43.1257311,5.9304919
Grenoble,155637,45.1875602,5.7357819
Sibiu,154548,45.7973912,24.1519202
Dijon,151212,47.3215806,5.0414701
Angers,147571,47.4739884,-0.5515588
Villeurbanne,145150,45.7733573,4.8868454
Saint-Denis,145022,48.935773,2.3580232
Oulu,144114,65.0118734,25.4716809
Le Mans,142626,48.0073849,0.1967849
Aix-en-Provence,141438,43.5298424,5.4474738
Brest,141303,48.3905283,-4.4860088
Uppsala,140454,59.8586126,17.6387436
Clermont-Ferrand,139860,45.7774551,3.0819427
Baia Mare,139154,47.6775425,23.620772353105927
Limoges,139150,45.8354243,1.2644847
Stara Zagora,138272,42.4248111,25.6257479
Tours,134817,47.3900474,0.6889268
Amiens,133448,49.8941708,2.2956951
Metz,120738,49.1196964,6.1763552
Latina,118946,41.4672827,12.9037789
Perpignan,117419,42.6985304,2.8953121
Boulogne-Billancourt,114205,48.8356649,2.240206
Satu Mare,112705,47.7891763,22.8725598
Rouen,110933,49.4404591,1.0939658
Mulhouse,109588,47.7467233,7.3389937
Caen,108954,49.1813403,-0.3635615
Suceava,106934,47.647001,26.2522599
Saint-Denis,106785,48.935773,2.3580232
Drobeta-Turnu Severin,106507,44.6257835,22.6531975
Nancy,105421,48.6937223,6.1834097
Luxembourg,103641,49.6112768,6.129799
Saint-Paul,103346,49.4318046,2.0100016
Argenteuil,103125,48.9479069,2.2481797
Montreuil,102770,50.4638918,1.7631125
Lahti,102383,60.9826014,25.6613764
